"","Kingdom","Phylum","Class","Order","Family","Genus","logFC","logCPM","LR","PValue","FDR"
"asv000561","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter",-9.57530124972733,10.8590479121952,135.929515973407,2.06740496860239e-31,1.18627697098405e-27
"asv000547","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter",-8.93916769816199,10.8784588492808,113.191248394738,1.9593444549319e-26,4.3563733106285e-23
"asv001179","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",-9.62320666055392,10.9024510690369,112.89278091235,2.2776437664492e-26,4.3563733106285e-23
"asv001158","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",-9.49824807208755,10.7825975944625,111.821503025117,3.90972260637669e-26,5.60849707884736e-23
"asv001588","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA,-8.2600529048934,9.61971023690037,85.2966427996814,2.56798878814866e-20,2.9470239332794e-17
"asv000839","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,9.19006597583306,10.5015938691095,69.4606732900165,7.79534132473459e-17,7.45494475355451e-14
"asv002652","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",-8.81001348596123,10.1230550376923,67.6977094380305,1.90584817851767e-16,1.56225097833348e-13
"asv002893","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",-8.71625642276448,10.0351608789026,65.6554969157667,5.37049753055649e-16,3.85198935379164e-13
"asv001742","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA,-7.85112329941669,9.25162747057799,65.1407416407296,6.97353099153659e-16,4.44601342549299e-13
"asv000711","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter",7.10087917314094,9.51942014503648,62.8606946927779,2.21855687964132e-15,1.27300793753819e-12
"asv000535","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93",NA,5.70023841842775,9.34849559704984,58.814561856519,1.73254285591135e-14,9.03757355201755e-12
"asv000845","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,8.01216645401669,9.34926071908607,57.8666933603292,2.80496465448996e-14,1.34124059895528e-11
"asv000571","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas",8.54402619031723,9.89588690520075,56.5296194028355,5.53581913878756e-14,2.44342540141254e-11
"asv000693","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,9.26191694385717,10.5703997022924,52.5922431942657,4.10507350924827e-13,1.68249369971904e-10
"asv000556","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93",NA,5.37081274002971,9.42537780184251,50.5481956884393,1.16274037785e-12,4.3042461790454e-10
"asv000613","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas",8.19075032409789,9.57322220977628,50.48595262399,1.20020806665609e-12,4.3042461790454e-10
"asv001293","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,-8.0238200450448,9.4082535905038,50.035730522833,1.50971692139068e-12,5.09573864408218e-10
"asv002706","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,5.41823670337904,9.2443234298607,49.3981448408296,2.08943141758546e-12,6.66064304116965e-10
"asv001353","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,-7.87361139413663,9.2735804710132,48.4739399855842,3.34707265802283e-12,1.01081594272289e-09
"asv004194","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas",-6.9470384272492,9.03275690097667,48.1117093001152,4.02614982381223e-12,1.1052063567478e-09
"asv002739","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azoarcus",6.50325115005989,9.10115772914795,48.0423917867752,4.17102965219133e-12,1.1052063567478e-09
"asv003649","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",-7.03871715293569,8.56275634844366,48.0114106825234,4.23745901855203e-12,1.1052063567478e-09
"asv002867","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",7.28778032350686,8.79296158320819,46.5621278076567,8.87592117691742e-12,2.2143493788327e-09
"asv002206","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",-6.81985046220935,8.38416804521084,46.0807901343413,1.1347566149154e-11,2.71301394016024e-09
"asv000541","Bacteria","Proteobacteria","Gammaproteobacteria","R7C24",NA,NA,7.9818325962503,9.39062974250884,45.8224123139542,1.29473712903837e-11,2.97168065856887e-09
