"","2_BR15_1C3","2_BR15_1C4","2_BR15_1C5","2_BR15_1V1","2_BR15_1V3","2_BR15_1V5","2_BR15_2C2","2_BR15_2C4","2_BR15_2C5","2_BR15_2V1","2_BR15_2V4","2_BR15_2V5"
"asv000003",189,584,181,397,194,472,709,312,348,475,817,428
"asv000004",114,85,51,0,0,226,80,115,237,6,279,12
"asv000005",12,23,23,0,0,40,5,21,40,3,23,5
"asv000006",199,662,175,371,170,454,627,277,312,458,794,416
"asv000007",114,100,60,0,0,183,89,117,265,8,214,15
"asv000008",24,32,12,0,0,27,4,15,31,0,27,10
"asv000009",33,46,15,0,0,59,16,34,70,1,35,6
"asv000014",30,41,11,8,0,77,10,29,63,1,29,10
"asv000015",104,377,373,312,301,431,605,283,470,306,456,505
"asv000016",99,13,11,63,67,40,6,39,29,61,31,122
"asv000018",112,16,8,60,70,35,6,31,40,53,35,152
"asv000020",95,335,339,265,307,377,652,255,477,307,439,490
"asv000022",34,36,17,76,97,27,14,32,46,59,53,76
"asv000024",30,20,15,0,0,39,9,18,50,16,18,25
"asv000025",23,25,10,68,93,26,16,34,31,66,47,68
"asv000026",35,22,15,6,0,39,6,20,45,17,21,20
"asv000027",0,8,0,7,9,0,0,0,0,12,4,11
"asv000028",0,0,2,0,0,0,2,0,5,0,3,13
"asv000029",102,116,43,102,65,66,94,79,116,81,93,128
"asv000031",62,105,38,43,7,219,159,33,41,12,84,27
"asv000032",94,131,48,78,56,55,91,82,95,81,97,117
"asv000033",26,20,13,6,0,19,14,31,56,0,23,11
"asv000034",27,19,12,4,16,18,17,21,47,5,22,14
"asv000035",36,90,18,198,350,56,34,45,81,285,107,153
"asv000037",60,109,30,29,11,222,152,23,33,9,61,28
"asv000038",34,78,30,48,33,73,79,35,48,35,37,87
"asv000039",43,73,12,187,306,50,29,58,81,250,92,191
"asv000040",93,138,28,119,119,76,56,72,53,49,149,63
"asv000041",56,68,23,39,27,84,67,24,51,25,39,72
"asv000042",33,284,381,10,9,198,479,288,495,86,272,27
"asv000043",88,127,24,106,86,77,67,73,69,49,157,49
"asv000045",36,294,402,14,6,204,495,235,509,77,267,20
"asv000047",0,0,0,3,0,0,0,0,0,5,4,0
"asv000048",48,57,16,23,17,23,26,23,23,12,14,14
"asv000049",83,296,172,262,145,183,353,176,182,267,355,369
"asv000050",121,209,30,102,112,83,55,96,127,91,92,91
"asv000051",140,202,46,104,96,221,54,143,380,132,182,270
"asv000052",0,3,0,4,0,0,0,0,0,0,5,0
"asv000053",45,24,20,58,51,19,13,27,28,46,23,66
"asv000054",98,255,146,230,136,174,387,147,153,227,359,314
"asv000055",24,37,0,6,2,55,11,16,20,0,30,4
"asv000056",40,69,14,24,18,15,27,30,10,7,26,13
"asv000057",42,89,29,69,53,128,144,45,48,115,207,69
"asv000058",127,195,19,127,110,60,74,100,130,72,99,91
"asv000059",56,1,6,36,38,20,6,14,10,43,13,60
"asv000060",42,27,17,62,40,17,14,16,35,61,36,71
"asv000061",85,97,28,38,41,28,34,40,52,63,90,75
"asv000062",111,162,61,83,95,243,56,135,342,106,159,296
"asv000063",17,21,4,1,2,51,19,8,14,5,36,3
"asv000064",64,4,6,42,34,13,3,17,12,35,26,76
"asv000065",79,136,34,54,57,46,55,36,50,43,61,53
"asv000066",70,95,37,45,34,38,30,43,72,49,99,71
"asv000067",36,81,22,62,41,150,151,40,50,100,201,86
"asv000068",36,13,16,40,77,51,10,26,51,38,41,106
"asv000069",78,94,26,40,47,44,65,40,58,31,54,45
"asv000070",49,6,5,31,45,18,10,13,18,23,13,72
"asv000071",24,14,14,40,59,31,9,18,44,31,39,118
"asv000072",47,6,7,32,39,17,15,14,15,22,6,61
"asv000073",29,26,20,48,56,130,13,21,44,19,112,129
